"","Trial","Cond","Subject","Hit","RT"
"1",1,"condA","s1",1,1123.40332419637
"2",2,"condA","s1",1,1253.53528257411
"3",3,"condA","s1",1,1101.90404206467
"4",4,"condA","s1",0,1029.3752442067
"5",5,"condA","s1",1,1141.01516247552
"6",6,"condA","s1",1,903.176491309007
"7",7,"condA","s1",1,971.565443517236
"8",8,"condA","s1",1,928.563975945651
"9",9,"condA","s1",1,985.643935975458
"10",10,"condA","s1",1,1011.25048138061
"11",11,"condA","s1",1,844.629681697634
"12",12,"condA","s1",0,1013.83394862492
"13",13,"condA","s1",1,1014.32195586074
"14",14,"condA","s1",1,692.267540651439
"15",15,"condA","s1",1,1007.01439165167
"16",16,"condA","s1",1,695.240881992973
"17",17,"condA","s1",1,768.02603236299
"18",18,"condA","s1",1,706.652550012645
"19",19,"condA","s1",1,722.536686086956
"20",20,"condA","s1",1,554.126964673908
"21",21,"condA","s1",1,645.243831998292
"22",22,"condA","s1",1,773.950557835541
"23",23,"condA","s1",1,465.406577549572
"24",24,"condA","s1",1,580.826270654595
"25",25,"condA","s1",1,395.760409620294
"26",26,"condA","s1",0,340.961071108537
"27",27,"condA","s1",1,455.583227157387
"28",28,"condA","s1",1,441.270713451739
"29",29,"condA","s1",1,301.373830550244
"30",30,"condA","s1",1,353.065303400168
"31",31,"condA","s1",1,286.284001631871
"32",32,"condA","s1",1,505.123155730153
"33",33,"condA","s1",1,163.403324196366
"34",34,"condA","s1",1,293.535282574112
"35",35,"condA","s1",1,141.904042064666
"36",36,"condA","s1",1,69.3752442067032
"37",37,"condA","s1",0,181.015162475515
"38",38,"condA","s1",1,-56.8235086909925
"39",39,"condA","s1",1,11.5654435172357
"40",40,"condA","s1",1,-31.4360240543487
"41",41,"condA","s1",1,25.6439359754583
"42",42,"condA","s1",1,51.2504813806095
"43",43,"condA","s1",1,-115.370318302366
"44",44,"condA","s1",1,53.8339486249239
"45",45,"condA","s1",1,54.3219558607392
"46",46,"condA","s1",1,-267.732459348561
"47",47,"condA","s1",1,47.0143916516727
"48",48,"condA","s1",1,-264.759118007027
"49",49,"condA","s1",1,-191.97396763701
"50",50,"condA","s1",1,-253.347449987355
"51",1,"condB","s1",1,1282.06446124243
"52",2,"condB","s1",1,1099.73763000107
"53",3,"condB","s1",1,1192.79010790296
"54",4,"condB","s1",1,1312.85266147673
"55",5,"condB","s1",1,1072.2163779174
"56",6,"condB","s1",1,1142.63797530998
"57",7,"condB","s1",1,971.551621680036
"58",8,"condB","s1",0,893.500798584582
"59",9,"condB","s1",1,1020.15702211612
"60",10,"condB","s1",1,988.969156435996
"61",11,"condB","s1",1,887.484045378273
"62",12,"condB","s1",1,908.950192553414
"63",13,"condB","s1",0,868.814779268632
"64",14,"condB","s1",1,1065.36981660135
"65",15,"condB","s1",1,734.112213336597
"66",16,"condB","s1",1,847.702478012543
