
nk	Name	English Name	Country	Population	Remark
1	Tōkyō	Tokyo	Japan	34,800,000	incl. Yokohama, Kawasaki, Saitama
2	Guangzhou	Canton	China	31,700,000	Northern Pearl River Delta incl. Dongguan, Foshan, Jiangmen, Zhongshan
3	Shanghai	Shanghai	China	28,900,000	incl. Suzhou
4	Jakarta	Jakarta	Indonesia	26,400,000	incl. Bekasi, Bogor, Depok, Tangerang, Tangerang Selatan
5	Seoul	Seoul	Korea (South)	25,800,000	incl. Bucheon, Goyang, Incheon, Seongnam, Suweon
6	Delhi	Delhi	India	24,000,000	incl. Faridabad, Ghaziabad, Gurgaon
7	Ciudad de México	Mexico City	Mexico	23,800,000	incl. Nezahualcóyotl, Ecatepec, Naucalpan
8	Karāchi	Karachi	Pakistan	22,700,000	
9	Manila	Manila	Philippines	22,200,000	incl. Kalookan, Quezon City
10	New York	New York	United States of America	21,600,000	incl. Bridgeport, Newark, New Haven
11	São Paulo	São Paulo	Brazil	21,500,000	incl. Guarulhos
12	Mumbai	Bombay	India	21,400,000	incl. Bhiwandi, Kalyan, Thane, Ulhasnagar, Vasai-Virar
13	Beijing	Beijing	China	19,300,000	
14	Los Angeles	Los Angeles	United States of America	17,200,000	incl. Anaheim, Riverside
15	Ōsaka	Osaka	Japan	16,800,000	incl. Kobe, Kyoto
16	Moskva	Moscow	Russia	16,500,000	
17	Dhaka	Dacca	Bangladesh	16,300,000	
18	Al-Qāhirah	Cairo	Egypt	16,100,000	incl. Al-Jizah, Hulwan, Shubra al-Khaymah
19	Kolkata	Calcutta	India	16,000,000	incl. Haora
20	London	London	Great Britain	15,500,000	
21	Buenos Aires	Buenos Aires	Argentina	14,500,000	incl. San Justo, La Plata
21	Krung Thep	Bangkok	Thailand	14,500,000	
23	İstanbul	Istanbul	Turkey	13,800,000	
24	Lagos	Lagos	Nigeria	13,200,000	
24	Tehrān	Tehran	Iran	13,200,000	incl. Karaj
26	Rio de Janeiro	Rio de Janeiro	Brazil	12,900,000	incl. Nova Iguaçu, São Gonçalo
27	Shenzhen	Shenzhen	China	11,700,000	
28	Paris	Paris	France	10,700,000	
29	Tianjin	Tientsin	China	10,600,000	
30	Kinshasa	Kinshasa	Congo (Dem. Rep.)	9,950,000	
31	Chicago	Chicago	United States of America	9,800,000	
32	Bengaluru	Bangalore	India	9,700,000	
33	Chennai	Madras	India	9,650,000	
33	Lima	Lima	Peru	9,650,000	
35	Lahore	Lahore	Pakistan	9,500,000	
36	Bogotá	Bogotá	Colombia	9,350,000	
37	Taibei	Taipei	Taiwan (Rep. of China)	8,950,000	incl. Taoyuan & most parts of Xinbei / New Taipei City
38	Chengdu	Chengtu	China	8,600,000	
38	Hyderābād	Hyderabad	India	8,600,000	
40	Johannesburg	Johannesburg	South Africa	8,550,000	incl. Soweto, East Rand, West Rand
41	Nagoya	Nagoya	Japan	8,450,000	
42	Thành Phố Hồ Chí Minh	Saigon	Vietnam	8,200,000	incl. Biên Hòa
43	Washington	Washington	United States of America	8,100,000	incl. Baltimore
44	Shenyang	Shenyang	China	7,400,000	incl. Fushun
45	Philadelphia	Philadelphia	United States of America	7,300,000	incl. Allentown, Trenton
46	Hangzhou	Hangchou	China	7,250,000	incl. Shaoxing
47	Boston	Boston	United States of America	7,200,000	incl. Providence
47	San Francisco	San Francisco	United States of America	7,200,000	incl. Concord, Oakland, San Jose, Santa Rosa
49	Hong Kong	Hong Kong	China	7,150,000	incl. Kowloon, Victoria
49	Wuhan	Wuhan	China	7,150,000	
51	Ahmadābād	Ahmedabad	India	7,050,000	
52	Santiago	Santiago	Chile	6,800,000	
53	Singapore	Singapore	Singapore	6,750,000	incl. Johor Bahru (Malaysia)
54	Chongqing	Chungking	China	6,700,000	
54	Kuala Lumpur	Kuala Lumpur	Malaysia	6,700,000	incl. Klang
56	Baghdād	Baghdad	Iraq	6,500,000	
56	Xi'an	Sian	China	6,500,000	incl. Xianyang
58	Dallas	Dallas	United States of America	6,400,000	incl. Fort Worth
58	Nanjing	Nanking	China	6,400,000	
60	Luanda	Luanda	Angola	6,200,000	
61	Ar-Riyād	Riyadh	Saudi Arabia	6,150,000	
62	Belo Horizonte	Belo Horizonte	Brazil	5,950,000	
62	Houston	Houston	United States of America	5,950,000	
62	Toronto	Toronto	Canada	5,950,000	
65	Miami	Miami	United States of America	5,800,000	incl. Fort Lauderdale, West Palm Beach
66	Bandung	Bandung	Indonesia	5,700,000	
67	Pune	Poona	India	5,600,000	incl. Pimpri-Chinchwad
68	Detroit	Detroit	United States of America	5,550,000	incl. Toledo, Windsor (Canada)
69	Atlanta	Atlanta	United States of America	5,450,000	
70	Madrid	Madrid	Spain	5,400,000	
71	Al-Kharṭūm	Khartoum	Sudan	5,300,000	
71	Sūrat	Surat	India	5,300,000	
73	Sankt-Peterburg	Saint Petersburg	Russia	5,250,000	
73	Shantou	Shantou	China	5,250,000	incl. Chaozhou
75	Yangon	Rangoon	Myanmar	5,150,000	
76	Guadalajara	Guadalajara	Mexico	4,975,000	incl. Zapopan
76	Milano	Milan	Italy	4,975,000	
78	Ruhrgebiet	The Ruhr	Germany	4,925,000	
79	Al-Iskandarīyah	Alexandria	Egypt	4,900,000	
79	Harbin	Harbin	China	4,900,000	
81	Dar es Salaam	Dar es Salaam	Tanzania	4,825,000	
81	Nairobi	Nairobi	Kenya	4,825,000	
83	Abidjan	Abidjan	Côte d'Ivoire	4,800,000	
84	Xiamen	Xiamen	China	4,775,000	
85	Sydney	Sydney	Australia	4,675,000	incl. Central Coast
86	Monterrey	Monterrey	Mexico	4,600,000	
86	Wenzhou	Wenzhou	China	4,600,000	
88	Colombo	Colombo	Sri Lanka	4,575,000	
89	Surabaya	Surabaya	Indonesia	4,550,000	
90	Ankara	Ankara	Turkey	4,525,000	
90	Zhengzhou	Zhengzhou	China	4,525,000	
92	Qingdao	Tsingtao	China	4,375,000	
93	Berlin	Berlin	Germany	4,325,000	
93	Chittagong	Chittagong	Bangladesh	4,325,000	
95	Accra	Accra	Ghana	4,300,000	
95	Phoenix	Phoenix	United States of America	4,300,000	
97	Dalian	Dairen	China	4,250,000	
97	Porto Alegre	Porto Alegre	Brazil	4,250,000	
99	Barcelona	Barcelona	Spain	4,200,000	
99	Brasília	Brasília	Brazil	4,200,000	
101	Hefei	Hofei	China	4,175,000	
101	Melbourne	Melbourne	Australia	4,175,000	
103	Casablanca	Casablanca	Morocco	4,150,000	
104	Napoli	Naples	Italy	4,125,000	
105	Changsha	Changsha	China	4,050,000	
105	Recife	Recife	Brazil	4,050,000	
107	Montréal	Montreal	Canada	4,025,000	
108	Quanzhou	Quanzhou	China	3,975,000	incl. Jinjiang
108	Tampa	Tampa	United States of America	3,975,000	incl. Lakeland, St. Petersburg, Sarasota
110	Jiddah	Jeddah	Saudi Arabia	3,950,000	
110	Seattle	Seattle	United States of America	3,950,000	
110	Taiyuan	Taiyuan	China	3,950,000	
113	Fortaleza	Fortaleza	Brazil	3,925,000	
114	Cape Town	Cape Town	South Africa	3,900,000	
114	Kano	Kano	Nigeria	3,900,000	
116	Al-Kuwayt	Kuwait City	Kuwait	3,850,000	
117	Salvador	Salvador	Brazil	3,825,000	
118	Medellín	Medellín	Colombia	3,800,000	
119	Jinan	Jinan	China	3,775,000	
119	Kunming	Kunming	China	3,775,000	
121	Faisalabad	Faisalabad	Pakistan	3,725,000	
122	Fuzhou	Fuzhou	China	3,700,000	
123	Busan	Pusan	Korea (South)	3,675,000	
123	Shijiazhuang	Shijiazhuang	China	3,675,000	
125	Changchun	Changchun	China	3,625,000	
126	Athínai	Athens	Greece	3,600,000	
126	Rāwalpindi	Rawalpindi	Pakistan	3,600,000	incl. Islamabad
128	Caracas	Caracas	Venezuela	3,550,000	
129	Dimashq	Damascus	Syria	3,525,000	
130	Curitiba	Curitiba	Brazil	3,475,000	
130	Kānpur	Kanpur	India	3,475,000	
130	Santo Domingo	Santo Domingo	Dominican Republic	3,475,000	
133	El Djazaïr	Algiers	Algeria	3,425,000	
134	Jaipur	Jaipur	India	3,400,000	
134	Kābol	Kabul	Afghanistan	3,400,000	
134	Ürümqi	Ürümqi	China	3,400,000	
137	Lucknow	Lucknow	India	3,350,000	
138	Denver	Denver	United States of America	3,325,000	
138	Kyïv	Kiev	Ukraine	3,325,000	
140	Medan	Medan	Indonesia	3,300,000	
141	Adis Abeba	Addis Ababa	Ethiopia	3,275,000	
141	Roma	Rome	Italy	3,275,000	
143	'Ammān	Amman	Jordan	3,225,000	
144	San Diego	San Diego	United States of America	3,150,000	
144	Zibo	Zibo	China	3,150,000	
146	Campinas	Campinas	Brazil	3,125,000	
146	Durban	Durban	South Africa	3,125,000	
148	Birmingham	Birmingham	Great Britain	3,075,000	
148	Cleveland	Cleveland	United States of America	3,075,000	incl. Akron
148	Rotterdam	Rotterdam	Netherlands	3,075,000	Randstad South incl. 's-Gravenhage (The Hague)
148	Wuxi	Wuxi	China	3,075,000	
152	Minneapolis	Minneapolis	United States of America	2,975,000	
152	Nanning	Nanning	China	2,975,000	
152	Orlando	Orlando	United States of America	2,975,000	
152	Puebla	Puebla	Mexico	2,975,000	
156	Manchester	Manchester	Great Britain	2,950,000	
157	Ḥalab	Aleppo	Syria	2,925,000	
157	İzmir	Izmir	Turkey	2,925,000	
157	Mashhad	Meshed	Iran	2,925,000	
160	Cali	Cali	Colombia	2,900,000	
160	Ciudad de Guatemala	Guatemala City	Guatemala	2,900,000	
160	Dakar	Dakar	Senegal	2,900,000	
160	Ibadan	Ibadan	Nigeria	2,900,000	
164	Nanchang	Nanchang	China	2,875,000	
164	Ningbo	Ningbo	China	2,875,000	
166	Nāgpur	Nagpur	India	2,850,000	
167	Pretoria	Pretoria	South Africa	2,825,000	incl. Soshanguve
168	Gaoxiong	Kaohsiung	Taiwan (Rep. of China)	2,800,000	
169	Hà Nội	Hanoi	Vietnam	2,775,000	
169	P'yŏngyang	Pyongyang	Korea (North)	2,775,000	
171	Brisbane	Brisbane	Australia	2,750,000	incl. Gold Coast
172	Cincinnati	Cincinnati	United States of America	2,725,000	incl. Dayton
172	Guiyang	Guiyang	China	2,725,000	
174	Daegu	Taegu	Korea (South)	2,700,000	
174	Kāṭhmāḍaũ	Kathmandu	Nepal	2,700,000	
176	Guayaquil	Guayaquil	Ecuador	2,675,000	
176	Port-au-Prince	Port-au-Prince	Haiti	2,675,000	
178	Bamako	Bamako	Mali	2,650,000	
178	Eṣfahān	Isfahan	Iran	2,650,000	
180	Douala	Douala	Cameroon	2,625,000	
181	Lanzhou	Lanzhou	China	2,600,000	
182	Frankfurt	Frankfurt	Germany	2,575,000	
182	Hamburg	Hamburg	Germany	2,575,000	
182	Huizhou	Huizhou	China	2,575,000	
182	Lisboa	Lisbon	Portugal	2,575,000	
182	Toshkent	Tashkent	Uzbekistan	2,575,000	
187	Sapporo	Sapporo	Japan	2,550,000	
187	Yaoundé	Yaoundé	Cameroon	2,550,000	
189	Budapest	Budapest	Hungary	2,525,000	
190	Changzhou	Changzhou	China	2,500,000	
190	Fukuoka	Fukuoka	Japan	2,500,000	
192	Jiangyin	Jiangyin	China	2,475,000	
192	Vancouver	Vancouver	Canada	2,475,000	
194	Indore	Indore	India	2,450,000	
194	Kumasi	Kumasi	Ghana	2,450,000	
194	Maracaibo	Maracaibo	Venezuela	2,450,000	
194	Tūnis	Tunis	Tunisia	2,450,000	
198	Anshan	Anshan	China	2,425,000	incl. Liaoyang
198	Coimbatore	Coimbatore	India	2,425,000	
198	Katowice	Katowice	Poland	2,425,000	Upper Silesian Area
198	Tel Aviv-Yafo	Tel Aviv-Jaffa	Israel	2,425,000	
202	Asunción	Asunción	Paraguay	2,400,000	
202	Bhilai	Bhilai	India	2,400,000	incl. Raipur
202	Xuzhou	Xuzhou	China	2,400,000	
205	Bakı	Baku	Azerbaijan	2,375,000	
205	Patna	Patna	India	2,375,000	
205	St. Louis	St. Louis	United States of America	2,375,000	
208	Amsterdam	Amsterdam	Netherlands	2,325,000	Randstad North
208	Taizhong	Taichung	Taiwan (Rep. of China)	2,325,000	
210	Gujrānwāla	Gujranwala	Pakistan	2,300,000	
210	Harare	Harare	Zimbabwe	2,300,000	
210	Ṣan'ā'	Sana'a	Yemen	2,300,000	
213	Antananarivo	Tananarive	Madagascar	2,275,000	
213	Belém	Belém	Brazil	2,275,000	
213	Charlotte	Charlotte	United States of America	2,275,000	
213	Goiânia	Goiânia	Brazil	2,275,000	
213	Hyderābād	Hyderabad	Pakistan	2,275,000	
213	Kampala	Kampala	Uganda	2,275,000	
213	San Juan	San Juan	Puerto Rico	2,275,000	
213	Tangshan	Tangshan	China	2,275,000	
221	Portland	Portland	United States of America	2,250,000	
221	Warszawa	Warsaw	Poland	2,250,000	
223	Ad-Dammām	Dammam	Saudi Arabia	2,225,000	
223	Salt Lake City	Salt Lake City	United States of America	2,225,000	incl. Ogden, Provo
225	La Habana	Havana	Cuba	2,200,000	
226	București	Bucharest	Romania	2,175,000	
227	Cebu	Cebu	Philippines	2,150,000	
227	Las Vegas	Las Vegas	United States of America	2,150,000	
227	Stockholm	Stockholm	Sweden	2,150,000	
230	Leeds	Leeds	Great Britain	2,125,000	
231	La Paz	La Paz	Bolivia	2,100,000	
231	Lusaka	Lusaka	Zambia	2,100,000	
231	München	Munich	Germany	2,100,000	
234	Bhopāl	Bhopal	India	2,075,000	
