subj block task isi lagt2 t2in reponset1 reponset2 correct1 correct2
irtrainingcretest a training 150 3 1 4 1 True True
irtrainingcretest a training 150 1 1 1 1 True True
irtrainingcretest a training 150 2 0 4 0 True True
irtrainingcretest a training 150 3 0 2 0 True True
irtrainingcretest a training 150 3 1 4 1 True True
irtrainingcretest a training 150 3 1 4 1 True True
irtrainingcretest a training 150 1 1 3 1 True True
irtrainingcretest a training 150 3 1 2 1 True True
irtrainingcretest a training 150 2 1 4 0 True False
irtrainingcretest a training 150 1 1 2 0 True False
irtrainingcretest a training 150 1 0 4 0 True True
irtrainingcretest a training 150 2 1 2 1 True True
irtrainingcretest a training 150 3 1 1 1 True True
irtrainingcretest a training 150 1 0 2 0 True True
irtrainingcretest a training 150 2 1 4 1 True True
irtrainingcretest a training 150 2 1 2 1 True True
irtrainingcretest a training 150 2 0 4 0 True True
irtrainingcretest a training 150 2 1 3 1 True True
irtrainingcretest a training 150 3 0 4 0 True True
irtrainingcretest a training 150 3 1 3 1 True True
irtrainingcretest a training 150 1 0 2 0 True True
irtrainingcretest a training 125 2 1 1 1 True True
irtrainingcretest a training 125 1 0 4 0 True True
irtrainingcretest a training 125 3 1 1 1 True True
irtrainingcretest a training 125 2 1 1 1 True True
irtrainingcretest a training 125 2 1 4 1 True True
irtrainingcretest a training 125 3 1 2 1 True True
irtrainingcretest a training 125 1 0 4 0 True True
irtrainingcretest a training 125 2 0 3 0 True True
irtrainingcretest a training 125 2 1 4 1 True True
irtrainingcretest a training 125 1 0 2 0 True True
irtrainingcretest a training 125 3 1 1 1 True True
irtrainingcretest a training 125 2 1 1 1 True True
irtrainingcretest a training 125 2 1 3 1 True True
irtrainingcretest a training 125 3 0 2 0 True True
irtrainingcretest a training 125 2 1 2 1 True True
irtrainingcretest a training 125 1 1 2 0 True False
irtrainingcretest a training 125 1 1 3 1 True True
irtrainingcretest a training 125 3 1 4 1 True True
irtrainingcretest a training 125 1 1 1 1 True True
irtrainingcretest a training 125 2 1 4 1 True True
irtrainingcretest a training 125 1 1 2 1 True True
irtrainingcretest a training 125 1 1 4 1 True True
irtrainingcretest a training 125 2 0 2 0 True True
irtrainingcretest a training 125 1 1 3 1 True True
irtrainingcretest a training 125 2 1 2 1 True True
irtrainingcretest a training 125 1 0 1 0 True True
irtrainingcretest a training 125 2 1 2 1 True True
irtrainingcretest a training 125 1 1 2 1 True True
irtrainingcretest a training 125 1 0 2 0 True True
irtrainingcretest a training 125 1 1 3 1 True True
irtrainingcretest a training 125 3 1 3 1 True True
irtrainingcretest a training 125 2 1 2 1 True True
irtrainingcretest a training 125 2 1 4 1 True True
irtrainingcretest a training 125 2 1 4 0 True False
irtrainingcretest a training 125 3 0 4 0 True True
irtrainingcretest a training 125 2 0 1 0 True True
irtrainingcretest a training 125 2 0 3 0 True True
irtrainingcretest a training 125 2 0 4 0 True True
irtrainingcretest a training 125 3 1 4 1 True True
