subj	block	task	isi	lagt2	reponset2	correct1	correct2
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	5	1	True	0.00	
rodrigo	a	test	6	1	True	1.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	4	1	True	0.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	2	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	5	1	True	0.00	
rodrigo	a	test	5	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	0	0	False	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	2	1	True	0.00	
rodrigo	a	test	8	1	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	1	1	True	1.00	
rodrigo	a	test	3	1	True	1.00	
rodrigo	a	test	4	1	True	1.00	
rodrigo	a	test	5	1	True	1.00	
rodrigo	a	test	8	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	3	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	8	1	True	1.00	
rodrigo	a	test	1	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	6	1	True	1.00	
rodrigo	a	test	6	1	True	1.00	
rodrigo	a	test	5	1	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	2	1	True	1.00	
rodrigo	a	test	2	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	3	1	True	1.00	
rodrigo	a	test	6	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	5	1	True	1.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	5	1	True	1.00	
rodrigo	a	test	7	1	True	0.00	
rodrigo	a	test	4	1	True	1.00	
rodrigo	a	test	8	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	3	1	True	0.00	
rodrigo	a	test	4	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	3	1	True	0.00	
rodrigo	a	test	4	1	True	1.00	
rodrigo	a	test	2	1	True	0.00	
rodrigo	a	test	3	1	True	0.00	
rodrigo	a	test	0	0	True	1.00	
rodrigo	a	test	1	1	True	0.00	
rodrigo	a	test	4	1	True	1.00	
rodrigo	a	test	8	1	True	0.00	
rodrigo	a	test	8	1	True	1.00	
rodrigo	a	test	7	1	True	0.00	
rodrigo	a	test	2	1	True	0.00	
rodrigo	a	test	4	1	True	1.00	
rodrigo	a	test	6	1	True	0.00	
rodrigo	a	test	7	1	True	1.00	
rodrigo	a	test	3	1	True	1.00	
rodrigo	a	test	2	1	True	0.00	
rodrigo	a	test	4	1	True	1.00	
