subj block task lag t2in correct1 correct2
clemence b test 3 1 False 0.00
clemence b test 2 1 False 0.00
clemence b test 7 1 False 0.00
clemence b test 5 1 True 0.00
clemence b test 4 1 True 1.00
clemence b test 2 1 False 1.00
clemence b test 8 1 False 0.00
clemence b test 6 1 False 1.00
clemence b test 0 0 True 1.00
clemence b test 8 1 True 1.00
clemence b test 4 1 True 0.00
clemence b test 3 1 True 0.00
clemence b test 3 1 True 0.00
clemence b test 1 1 True 0.00
clemence b test 0 0 True 0.00
clemence b test 5 1 True 1.00
clemence b test 5 1 True 0.00
clemence b test 0 0 True 1.00
clemence b test 7 1 True 0.00
clemence b test 0 0 True 1.00
clemence b test 0 0 True 1.00
clemence b test 0 0 True 1.00
clemence b test 6 1 True 1.00
clemence b test 3 1 True 0.00
clemence b test 5 1 True 0.00
clemence b test 0 0 True 0.00
clemence b test 4 1 True 1.00
clemence b test 5 1 False 1.00
clemence b test 2 1 True 1.00
clemence b test 0 0 True 1.00
clemence b test 7 1 True 1.00
clemence b test 8 1 True 1.00
clemence b test 4 1 True 1.00
clemence b test 1 1 True 1.00
clemence b test 0 0 True 0.00
clemence b test 7 1 True 1.00
clemence b test 4 1 True 1.00
clemence b test 8 1 True 1.00
clemence b test 6 1 True 1.00
clemence b test 2 1 True 0.00
clemence b test 4 1 True 0.00
clemence b test 2 1 True 1.00
clemence b test 7 1 True 1.00
clemence b test 3 1 True 0.00
clemence b test 3 1 True 0.00
clemence b test 4 1 True 1.00
clemence b test 7 1 False 1.00
clemence b test 7 1 True 1.00
clemence b test 8 1 True 1.00
clemence b test 0 0 True 1.00
clemence b test 0 0 True 1.00
clemence b test 5 1 True 0.00
clemence b test 6 1 True 1.00
clemence b test 6 1 True 1.00
clemence b test 7 1 True 1.00
clemence b test 0 0 True 0.00
clemence b test 8 1 True 1.00
clemence b test 3 1 True 1.00
clemence b test 1 1 True 0.00
clemence b test 0 0 True 1.00
clemence b test 5 1 True 1.00
clemence b test 0 0 True 0.00
clemence b test 0 0 True 1.00
clemence b test 1 1 True 1.00
clemence b test 1 1 True 1.00
clemence b test 6 1 True 1.00
clemence b test 2 1 True 0.00
clemence b test 6 1 True 1.00
clemence b test 0 0 True 1.00
clemence b test 5 1 True 1.00
clemence b test 1 1 True 1.00
clemence b test 1 1 True 1.00
clemence b test 2 1 True 0.00
clemence b test 4 1 True 0.00
clemence b test 6 1 True 0.00
clemence b test 0 0 True 1.00
clemence b test 1 1 False 1.00
clemence b test 8 1 False 1.00
clemence b test 0 0 True 1.00
clemence b test 0 0 True 1.00
clemence b test 8 1 True 1.00
clemence b test 2 1 True 1.00
clemence b test 3 1 True 0.00
clemence b test 0 0 True 0.00
clemence b training 1 0 True 1.00
clemence b training 3 0 True 1.00
clemence b training 3 1 True 0.00
clemence b training 2 1 True 1.00
clemence b training 2 0 True 0.00
clemence b training 1 1 True 0.00
clemence b training 1 1 False 1.00
clemence b training 2 1 True 1.00
clemence b training 1 1 True 1.00
clemence b training 1 0 False 0.00
clemence b training 3 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 2 1 True 1.00
clemence b training 3 0 True 1.00
clemence b training 3 1 True 1.00
clemence b training 1 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 1 0 True 0.00
clemence b training 3 0 True 0.00
clemence b training 3 1 True 0.00
clemence b training 2 1 True 0.00
clemence b training 3 1 True 0.00
clemence b training 3 1 True 1.00
clemence b training 1 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 1 1 True 1.00
clemence b training 2 1 True 1.00
clemence b training 2 1 True 1.00
clemence b training 2 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 1 1 True 0.00
clemence b training 1 0 False 1.00
clemence b training 3 1 True 0.00
clemence b training 3 1 True 1.00
clemence b training 2 1 True 0.00
clemence b training 1 1 True 1.00
clemence b training 2 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 3 1 True 1.00
clemence b training 3 1 False 0.00
clemence b training 5 1 True 1.00
clemence b training 5 1 True 0.00
clemence b training 6 1 True 1.00
clemence b training 6 1 True 1.00
clemence b training 5 0 True 1.00
clemence b training 6 0 True 0.00
clemence b training 5 0 True 1.00
clemence b training 4 0 True 0.00
clemence b training 4 1 True 0.00
clemence b training 4 1 True 1.00
clemence b training 5 1 False 1.00
clemence b training 4 1 True 1.00
clemence b training 5 1 True 1.00
clemence b training 5 0 True 0.00
clemence b training 5 1 True 0.00
clemence b training 6 1 True 1.00
clemence b training 6 0 True 0.00
clemence b training 5 0 True 1.00
clemence b training 6 1 True 0.00
clemence b training 4 1 True 1.00
clemence b training 5 1 True 0.00
clemence b training 4 1 True 1.00
clemence b training 6 0 True 1.00
clemence b training 4 1 True 1.00
clemence b training 5 1 True 0.00
clemence b training 4 1 True 0.00
clemence b training 5 1 True 1.00
clemence b training 6 1 True 1.00
clemence b training 6 1 True 1.00
clemence b training 4 0 True 1.00
clemence b training 6 0 True 1.00
clemence b training 6 1 True 1.00
clemence b training 4 1 True 1.00
clemence b training 4 1 True 1.00
clemence b training 4 1 True 0.00
clemence b training 6 1 True 0.00
clemence b training 6 1 True 1.00
clemence b training 5 1 True 1.00
clemence b training 6 0 True 1.00
clemence b training 6 1 True 1.00
clemence b training 7 0 True 1.00
clemence b training 9 1 True 1.00
clemence b training 9 1 True 0.00
clemence b training 8 1 True 0.00
