Greece	72.2000	270.0000
Portugal	67.0000	320.0000
Iceland	73.6000	320.0000
Spain		71.5000	420.0000
Japan		73.7000	480.0000
Luxembourg	68.0000	520.0000
Ireland	69.5000	540.0000
Eng-Wales 	71.2000	540.0000
Austria	69.0000	550.0000
New_Zeal	69.8000	550.0000
Belgium	69.9000	600.0000
Italy		70.7000	620.0000
Finland	69.2000	700.0000
Switzerland	72.4000	760.0000
Germany	69.8000	780.0000
Netherlands	72.6000	780.0000
Australia	70.9000	810.0000
Denmark	71.4000	880.0000
Canada	71.0000	920.0000
Norway	72.2000	920.0000
France	70.1000	1020.0000
United_Stat	69.6000	1120.0000
Sweden	72.7000 	1480.0000		 .    


