1  4.34 1.30 .30
1  3.50 0.94 .27
1  4.33 2.25 .52
1  2.76 1.05 .38
1  4.62 0.92 .20
1  5.40 1.90 .26 
1  3.95 0.32 .08
1  1.55 0.64 .41
1  1.42 0.69 .49
1  1.90 0.93 .49
2  1.55 0.93 .60
2 10.56 4.44 .42
2  8.39 4.03 .48
2  3.70 1.92 .52
2  2.40 0.67 .28
2  1.83 1.70 .93
2  2.40 0.77 .32
2  7.67 3.53 .46
2  5.79 3.65 .63
2  9.58 4.22 .44
3  7.18 5.10 .71
3  8.33 4.16 .50
3  4.05 1.54 .38
3 10.78 6.36 .59
3  6.09 3.96 .65 
3  7.78 4.51 .58
3  5.08 3.76 .74
3  2.86 1.92 .67
3  6.30 3.84 .61
4  6.94 2.29 .33
4  6.10 4.75 .78
4  4.90 3.48 .71
4  3.69 2.76 .58
4  4.76 1.67 .35
4  4.30 1.51 .35
4  2.32 1.07 .46
4  7.35 2.35 .32
5  4.00 1.44 .36
5  4.10 1.11 .27
5  3.62 2.17 .60 
5  3.92 2.00 .51
5  2.90 0.84 .29
5  2.90 0.99 .34
5  1.82 0.44 .24
5  4.94 0.84 .17
5  5.69 2.84 .50
5  5.54 2.93 .53
