ANSCOMBE X1       Y1       X2       Y2       X3       Y3       X4       Y4      
I01 10.000 8.040 10.000 9.140 10.000 7.460 8.000 6.580
I02 8.000 6.950 8.000 8.140 8.000 6.770 8.000 5.760
I03 13.000 7.580 13.000 8.740 13.000 12.740 8.000 7.710
I04 9.000 8.810 9.000 8.770 9.000 7.110 8.000 8.840
I05 11.000 8.330 11.000 9.260 11.000 7.810 8.000 8.470
I06 14.000 9.960 14.000 8.100 14.000 8.840 8.000 7.040
I07 6.000 7.240 6.000 6.130 6.000 6.080 8.000 5.250
I08 4.000 4.260 4.000 3.100 4.000 5.390 19.000 12.500
I09 12.000 10.840 12.000 9.130 12.000 8.150 8.000 5.560
I10 7.000 4.820 7.000 7.260 7.000 6.420 8.000 7.910
I11 5.000 5.680 5.000 4.740 5.000 5.730 8.000 6.890
