CHIENS	TAI	POI	VEL	INT	AFF	AGR	FON
BEAUCERO	3	2	3	2	2	2	3
BASSET	1	1	1	1	1	2	2
BERGERAL	3	2	3	3	2	2	3
BOXER	2	2	2	2	2	2	1
BULDOG	1	1	1	2	2	1	1
BULLMAST	3	3	1	3	1	2	3
CANICHE	1	1	2	3	2	1	1
CHIHUAHU	1	1	1	1	2	1	1
COCKER	2	1	1	2	2	2	1
COLLEY	3	2	3	2	2	1	1
DALMATIE	2	2	2	2	2	1	1
DOBERMAN	3	2	3	3	1	2	3
DOGUEALL	3	3	3	1	1	2	3
EPAGNEUB	2	2	2	3	2	1	2
EPAGNEUF	3	2	2	2	1	1	2
FOXHOUND	3	2	3	1	1	2	2
FOXTERRI	1	1	2	2	2	2	1
GBDEASCO	3	2	2	1	1	2	2
LABRADOR	2	2	2	2	2	1	2
LEVRIER	3	2	3	1	1	1	2
MASTIFF	3	3	1	1	1	2	3
PEKINOIS	1	1	1	1	2	1	1
POINTER	3	2	3	3	1	1	2
SAINTBER	3	3	1	2	1	2	3
SETTER	3	2	3	2	1	1	2
TECKEL	1	1	1	2	2	1	1
TERRENEU	3	3	1	2	1	1	3
