CONJOINT ETUD VACA FTAM ASPO TRAFV PART ANNO FTFM BOIT SPEC FTPB VOIS PUBL BAL
AGRD 9 8 23 27 17 22 8 12 4 19 15 15 27 150
APTI 12 12 16 28 21 33 0 16 8 43 20 20 39 64
ONOQ 19 5 33 19 86 58 4 23 25 30 30 30 131 191
OART 28 46 63 54 120 103 0 85 65 44 63 63 211 238
OTRA 21 35 44 57 63 67 0 46 39 40 18 18 77 124
OIND 52 32 67 72 67 76 28 57 71 59 64 64 134 217
ARTI 12 29 18 38 70 30 4 12 38 16 13 13 61 110
COMM 14 5 14 11 66 29 8 8 12 12 4 4 42 63
EFCT 34 18 14 29 78 27 0 32 14 17 17 17 69 91
EENT 45 32 38 43 105 74 13 35 24 8 13 13 90 66
PCTR 48 53 84 106 93 107 4 63 36 17 17 17 89 142
PSAN 83 56 72 97 119 59 9 15 49 22 24 24 108 67
PFON 102 45 55 95 103 42 4 22 12 8 8 9 64 37
CENT 93 76 64 59 81 50 0 26 14 9 23 23 72 40
PLCE 60 22 43 22 22 20 0 8 9 0 8 8 16 23
CFON 83 38 34 55 84 30 4 8 17 1 12 12 35 9
