ID FATH MOTH INST GIRL 
I01 23.000 25.000 8.000 24.000
I02 32.000 30.000 13.000 30.000
I03 25.000 25.000 15.000 25.000
I04 36.000 31.000 10.000 35.000
I05 37.000 36.000 9.000 39.000
I06 31.000 33.000 10.000 30.000
I07 28.000 22.000 8.000 27.000
I08 26.000 18.000 5.000 14.000
I09 20.000 14.000 13.000 39.000
I10 35.000 30.000 15.000 42.000
I11 42.000 36.000 11.000 41.000
I12 40.000 30.000 11.000 38.000
I13 32.000 27.000 12.000 39.000
I14 33.000 38.000 10.000 37.000
I15 45.000 40.000 18.000 47.000
I16 30.000 31.000 13.000 30.000
I17 29.000 25.000 12.000 36.000
I18 28.000 24.000 4.000 12.000
I19 24.000 27.000 10.000 26.000
I20 18.000 20.000 8.000 20.000
I21 37.000 35.000 16.000 43.000
I22 27.000 29.000 15.000 31.000
I23 39.000 32.000 14.000 40.000
I24 34.000 30.000 7.000 31.000
I25 48.000 40.000 12.000 36.000
I26 37.000 31.000 6.000 21.000
I27 44.000 41.000 19.000 44.000
I28 23.000 26.000 5.000 11.000
I29 29.000 24.000 8.000 27.000
I30 38.000 30.000 9.000 24.000
I31 41.000 20.000 15.000 40.000
I32 39.000 31.000 7.000 32.000
I33 27.000 29.000 6.000 10.000
I34 48.000 43.000 14.000 37.000
I35 33.000 30.000 7.000 19.000
