"eleve" "pedago" "notes"
"e1" "a" 10
"e2" "a" 17
"e3" "a" 17
"e4" "a" 13
"e5" "a" 17
"e6" "a" 14
"e7" "a" 13
"e8" "a" 17
"e9" "a" 17
"e10" "a" 12
"e11" "a" 14
"e12" "a" 15
"e13" "a" 14
"e14" "a" 15
"e15" "a" 17
"e16" "a" 13
"e17" "a" 14
"e18" "a" 15
"e19" "a" 15
"e20" "a" 13
"e21" "a" 19
"e22" "a" 18
"e23" "a" 14
"e24" "a" 14
"e25" "a" 15
"e26" "b" 14
"e27" "b" 17
"e28" "b" 11
"e29" "b" 14
"e30" "b" 13
"e31" "b" 13
"e32" "b" 13
"e33" "b" 15
"e34" "b" 13
"e35" "b" 12
"e36" "b" 15
"e37" "b" 12
"e38" "b" 14
"e39" "b" 15
"e40" "b" 17
"e41" "b" 12
"e42" "b" 14
"e43" "b" 16
"e44" "b" 17
"e45" "b" 13
"e46" "c" 18
"e47" "c" 16
"e48" "c" 14
"e49" "c" 14
"e50" "c" 19
"e51" "c" 16
"e52" "c" 16
"e53" "c" 17
"e54" "c" 11
"e55" "c" 20
"e56" "c" 18
"e57" "c" 18
"e58" "c" 16
"e59" "c" 20
"e60" "c" 16
"e61" "c" 15
"e62" "c" 19
"e63" "c" 14
"e64" "c" 18
"e65" "c" 14
"e66" "c" 16
"e67" "c" 18
"e68" "c" 17
"e69" "c" 17
"e70" "c" 19
"e71" "c" 18
"e72" "c" 14
"e73" "c" 15
"e74" "d" 16
"e75" "d" 20
"e76" "d" 22
"e77" "d" 14
"e78" "d" 18
"e79" "d" 18
"e80" "d" 15
"e81" "d" 16
"e82" "d" 15
"e83" "d" 14
"e84" "d" 16
"e85" "d" 16
"e86" "d" 13
"e87" "d" 22
"e88" "d" 16
"e89" "d" 14
"e90" "d" 13
"e91" "d" 15
